0:  	-569024030
1:  	-2147195750
[31mElement 1 (-2147195750) is less than element 0 (-569024030)[0m
2:  	-2146589595
3:  	-2144526768
4:  	-2142565417
5:  	-2140735140
6:  	-2140484525
7:  	-2140464446
8:  	-2140302156
9:  	-2140287167
10:  	-2140055412
11:  	-2139429411
12:  	-2139319478
13:  	-2139028234
14:  	-2138757698
15:  	-2136978708
16:  	-2136326489
17:  	-2135879246
18:  	-2135564170
19:  	-2134729450
20:  	-2134150284
21:  	-2133991471
22:  	-2133747868
23:  	-2133633750
24:  	-2132628945
25:  	-2131991270
26:  	-2130002617
27:  	-2128710042
28:  	-2126457806
29:  	-2126349593
30:  	-2125824982
31:  	-2124204667
32:  	-2123045882
33:  	-2122893779
34:  	-2122449327
35:  	-2122072427
36:  	-2121983201
37:  	-2121617656
38:  	-2120628666
39:  	-2120566619
40:  	-2119905283
41:  	-2119765917
42:  	-2119717621
43:  	-2119635714
44:  	-2119515051
45:  	-2119062203
46:  	-2118029561
47:  	-2115686813
48:  	-2115405766
49:  	-2114903999
50:  	-2113138662
51:  	-2112884911
52:  	-2112713499
53:  	-2112446223
54:  	-2112281923
55:  	-2112150153
56:  	-2112062635
57:  	-2111646126
58:  	-2110467141
59:  	-2110385298
60:  	-2110217975
61:  	-2109137812
62:  	-2108925358
63:  	-2108835413
64:  	-2108798141
65:  	-2107646957
66:  	-2106760885
67:  	-2104341706
68:  	-2104177182
69:  	-2103881780
70:  	-2103285571
71:  	-2102958338
72:  	-2102465449
73:  	-2101924657
74:  	-2101604557
75:  	-2101308926
76:  	-2101297801
77:  	-2100415579
78:  	-2100074013
79:  	-2099229075
80:  	-2098908764
81:  	-2098344315
82:  	-2097513228
83:  	-2097315685
84:  	-2097132127
85:  	-2097004074
86:  	-2096299239
87:  	-2095291313
88:  	-2095202292
89:  	-2093559951
90:  	-2093204891
91:  	-2092957259
92:  	-2092499282
93:  	-2092182911
94:  	-2091730020
95:  	-2090174273
96:  	-2087801828
97:  	-2087401774
98:  	-2087083103
99:  	-2086217616
100:  	-2085967117
101:  	-2085122534
102:  	-2085099409
103:  	-2084122495
104:  	-2083655043
105:  	-2083458308
106:  	-2082993243
107:  	-2080978414
108:  	-2080610154
109:  	-2079780734
110:  	-2078955594
111:  	-2078584796
112:  	-2078324370
113:  	-2075664381
114:  	-2075353953
115:  	-2074648378
116:  	-2074582305
117:  	-2074497241
118:  	-2074496187
119:  	-2074454857
120:  	-2073106823
121:  	-2072390697
122:  	-2071041553
123:  	-2069983967
124:  	-2069238658
125:  	-2069030912
126:  	-2067767192
127:  	-2066830528
128:  	-2065889253
129:  	-2065879994
130:  	-2065587567
131:  	-2065534306
132:  	-2065175333
133:  	-2063898618
134:  	-2063829079
135:  	-2063620447
136:  	-2062620468
137:  	-2062533106
138:  	-2062260206
139:  	-2062118627
140:  	-2062053581
141:  	-2061784671
142:  	-2061611525
143:  	-2058980202
144:  	-2058875031
145:  	-2058822832
146:  	-2058380175
147:  	-2057231337
148:  	-2056929980
149:  	-2055117461
150:  	-2055034788
151:  	-2055030782
152:  	-2054512137
153:  	-2053229569
154:  	-2052764451
155:  	-2051806636
156:  	-2051015874
157:  	-2050575807
158:  	-2050219152
159:  	-2050074707
160:  	-2048105686
161:  	-2047593679
162:  	-2047125298
163:  	-2047075077
164:  	-2046895979
165:  	-2046815569
166:  	-2046374387
167:  	-2046207004
168:  	-2043711180
169:  	-2043621685
170:  	-2042355591
171:  	-2042266583
172:  	-2042218250
173:  	-2041606320
174:  	-2041557334
175:  	-2041150451
176:  	-2041005490
177:  	-2040898102
178:  	-2040038753
179:  	-2039924418
180:  	-2039727517
181:  	-2039118099
182:  	-2038419366
183:  	-2038247113
184:  	-2037999604
185:  	-2037682507
186:  	-2036833455
187:  	-2035845298
188:  	-2035553683
189:  	-2034833939
190:  	-2033947306
191:  	-2033594982
192:  	-2032665842
193:  	-2032662911
